"Item","Quantity","Url","Group"
"TEST STREP A - CLIA WAIVED RAPID STREP TEST","4","https://boundtree.com/search/?text=test+strep+a+-+clia+waived+rapid+strep+test","STREP TEST"
"KIT TEST - STATUS INFLUENZA A & B CLIA WVD","4","https://boundtree.com/search/?text=kit+test+-+status+influenza+a+%26+b+clia+wvd","INFLUENZA TEST"
"pH Paper in Dispenser Hydrion® Insta-Chek® 0 to 13.0","4","https://boundtree.com/search/?text=ph+paper+in+dispenser+hydrion%C2%AE+insta-chek%C2%AE+0+to+13.0","PH TEST"
"TEST DRUG - RAPID 12 PANEL","2","https://boundtree.com/search/?text=test+drug+-+rapid+12+panel","DRUG TEST"
"KIT TEST - HEMOCCULT IFOB 2-HOLE","2","https://boundtree.com/search/?text=kit+test+-+hemoccult+ifob+2-hole","HEMOCCULT"
"KIT RAPID FOBT TEST - STOOL CLIA WAIVED 30SEC - 1MIN","2","https://boundtree.com/search/?text=kit+rapid+fobt+test+-+stool+clia+waived+30sec+-+1min","HEMOCCULT"
"CONTROL URINALYSIS - DIPPER POCT LVL 1 & 2 1.5ML","2","https://boundtree.com/search/?text=control+urinalysis+-+dipper+poct+lvl+1+%26+2+1.5ml","URINALYSIS CONTROLS"
"Urine Chemistry Control Set Dropper® Plus Urinalysis Dipstick Testing 2 Levels 10 X 5 mL","2","https://boundtree.com/search/?text=urine+chemistry+control+set+dropper%C2%AE+plus+urinalysis+dipstick+testing+2+levels+10+x+5+ml","URINALYSIS CONTROLS"
"Urine Chemistry Control Set Quantimetrix Dipper POCT 2 Levels 20 X 1.5 Ml;CONTROL URINE DIPPER POCT DIPSTICK BI-LEVEL (20/BX)","2","https://boundtree.com/search/?text=urine+chemistry+control+set+quantimetrix+dipper+poct+2+levels+20+x+1.5+ml%3Bcontrol+urine+dipper+poct+dipstick+bi-level+%2820%2Fbx%29","URINALYSIS CONTROLS"
"Urine Chemistry Control Set Dipper® Urinalysis Dipstick Testing 2 Levels 6 X 15 mL","2","https://boundtree.com/search/?text=urine+chemistry+control+set+dipper%C2%AE+urinalysis+dipstick+testing+2+levels+6+x+15+ml","URINALYSIS CONTROLS"
"CONTROL URINE DIPPER LEV 1&2 15ML","4","https://boundtree.com/search/?text=control+urine+dipper+lev+1%262+15ml","URINALYSIS CONTROLS"
"OT: STRIP 10SG URINALYSIS TEST - MULTISTIX CLIA WAIVED","4","https://boundtree.com/search/?text=ot%3A+strip+10sg+urinalysis+test+-+multistix+clia+waived","URINALYSIS TEST"
"STRIP PARAMETER URINALYSIS TEST - CLINISTRIP-11","2","https://boundtree.com/search/?text=strip+parameter+urinalysis+test+-+clinistrip-11","URINALYSIS TEST"
"ANALYZER URINALYSIS - CLINITEK STATUS +","1","https://boundtree.com/search/?text=analyzer+urinalysis+-+clinitek+status+%2B","URINALYSIS MACHINE"
"POWER SUPPLY KIT FOR CLINITECK URINALYSIS","1","https://boundtree.com/search/?text=power+supply+kit+for+cliniteck+urinalysis","URINALYSIS MACHINE"
"PAPER THERMAL CLINITEK","1","https://boundtree.com/search/?text=paper+thermal+clinitek","URINALYSIS MACHINE"
"KIT HCG PREGNANCY TEST - OSOM CLIA WAIVED","10","https://boundtree.com/search/?text=kit+hcg+pregnancy+test+-+osom+clia+waived","PREGNANCY TEST"
"CONTROL HCG - QUICKVUE ONE-STEP POS/NEG","2","https://boundtree.com/search/?text=control+hcg+-+quickvue+one-step+pos%2Fneg","PREGNANCY TEST"
"TEST MONOFILAMENT - SENSORY FOOT 10GM/20 PACK","2","https://boundtree.com/search/?text=test+monofilament+-+sensory+foot+10gm%2F20+pack","DIABETIC FOOT SENSATION "
"MONOFILAMENT BASELINE","2","https://boundtree.com/search/?text=monofilament+baseline","DIABETIC FOOT SENSATION "
"RACK TEST TUBE - 16-20MM 32 PLACE CLR","2","https://boundtree.com/search/?text=rack+test+tube+-+16-20mm+32+place+clr","TEST TUBE RACK"
